ID_DN,CITY,ENT_TYPE,AGE,LEGAL_GENDER,CAPITAL_AMOUNT,TOTAL_OF_LABORS,MA_NGANH,TienTT_2015,ThuNH_2015,HangTon_2015,TSCoDinh_2015,NoNgan_2015,NoDai_2015,VonCSH_2015,DTThuan_2015,GiaVon_2015,DThuTC_2015,LNThuan_2015,TongLN_2015,LNsauthue_2015,TienTT_2016,ThuNH_2016,HangTon_2016,TSCoDinh_2016,NoNgan_2016,NoDai_2016,VonCSH_2016,DTThuan_2016,GiaVon_2016,DThuTC_2016,LNThuan_2016,TongLN_2016,LNsauthue_2016,TienTT_2017,ThuNH_2017,HangTon_2017,TSCoDinh_2017,NoNgan_2017,NoDai_2017,VonCSH_2017,DTThuan_2017,GiaVon_2017,DThuTC_2017,LNThuan_2017,TongLN_2017,LNsauthue_2017,TienTT_2018,ThuNH_2018,HangTon_2018,TSCoDinh_2018,NoNgan_2018,NoDai_2018,VonCSH_2018,DTThuan_2018,GiaVon_2018,DThuTC_2018,LNThuan_2018,TongLN_2018,LNsauthue_2018,Status
ACT2720,0.63255,LLC1,4.578082192,Female,5000000000,2,93,496000000,1,1,1,1,1,496000000,1,1,1,-4000000,-4000000,-4000000,489000000,1,1,1,1,1,489000000,1,1,1,-7000000,-7000000,-7000000,476000000,1,1,1,1,1,476000000,1,1,1,-13000000,-13000000,-13000000,474000000,1,1,1,15500000,1,458500000,1,1,1,-17500000,-17500000,-17500000,ACT
ACT1963,0.63255,LLC1,4.564383562,Female,1800000000,5,46,1687416600,15436500,1,1,8448300,1,1707579700,212058300,180776700,20700,-92420200,-92420200,-92420200,1506919800,54976700,140468500,1,36672000,1,1673770500,1117298500,828568200,696800,-40750000,-33809100,-33809100,1221899021,47858750,304063765,828652598,968076239,1,1608730457,2672793230,1815779398,2255349,-98413735,-78329669,-78329669,992168880,212948450,377841922,708847406,980227787,1,1433343000,3123253080,2205980757,968365,-162857012,-175387457,-175387457,ACT
TER2395,0.63255,LLC1,3.432876712,Female,1600000000,5,46,830084000,2528970400,1261899500,1,3102235700,1,1606830100,2720604000,2007928000,60400,8540400,8537700,6830100,3635141800,1580501500,920094800,1,4596513900,1,1604793000,11190424600,10573400100,51787000,-2037100,-2037100,-2037100,1904895220,807359883,935759709,1,2241986267,1,1447502552,1432573000,1278970141,241895,-157204975,-157290465,-157290465,1397346698,589796883,1,1,1505624267,1,481560773,231890000,1152944709,49325,-965741779,-965941779,-965941779,TER
TER1714,0.63255,LLC2,4.189041096,Male,2000000000,5,46,1940047700,1,1,1,1,1,1945231000,1,1,1,-54768900,-54768900,-54768900,1911523400,1,1,1,1,1,1919163500,1,1,1,-26067400,-26067400,-26067400,1908479589,1,1,1,1,1,1916214536,1,1,1,-2949000,-2949000,-2949000,1906479589,1,1,1,1,1,1914214536,1,1,1,-2000000,-2000000,-2000000,TER
ACT2872,0.63255,LLC1,4.252054795,Female,1500000000,3,49,1355538000,159610000,1,1,10855700,1,1504292300,287300000,263684800,8800,5365400,5365400,4292300,1439549500,125416500,1,1,3927900,1,1586814700,1102776000,944594700,145400,103152900,103152900,82522300,1472475664,152680000,1,1,6293109,1,1634088200,1009990000,933482562,3045900,59091848,59091848,47273478,1424606048,234300000,1,1,1,1,1672313319,973083000,908554017,44000,47831399,47791399,38225119,ACT
TER0211,0.63255,LLC1,3.254794521,Female,3500000000,5,74,3058278800,111819100,665292500,1,498523300,1,3389672600,2098104300,1689446500,940300,-106528200,-110327300,-110327300,3058278800,111819100,665292500,1,498523300,1,3389672600,2098104300,1689446500,940300,-106528200,-110327300,-110327300,3197253863,1,642837346,1,498523369,1,3371954610,38000000,22455227,32919,-17718005,-17718005,-17718005,3195216112,1,642837346,1,498523369,1,3369474970,1,1,1,-2479640,-2479640,-2479640,TER
TER2513,0.63255,LLC1,4.002739726,Male,800000000,2,47,799412000,1,1,1,1,1,799412000,1,1,1,-588000,-588000,-588000,583762100,1,161714400,1,1,1,760563500,30173000,17330400,1,-38848400,-38848400,-38848400,520001828,1,216350316,1,1,1,752297905,78350000,36351846,11186,-8265660,-8265660,-8265660,486190099,1,238469736,1,1,1,742372868,9650000,5203296,2259,-9925037,-9925037,-9925037,TER
TER2353,0.63255,LLC1,3.698630137,Female,1800000000,10,25,1797624000,1,1,1,500000,1,1799320000,1,1,1,-680000,-680000,-680000,450919200,6781827600,1739680000,1,7209600600,1,1775578600,18210947400,17990847300,2332900,-23741300,-23741300,-23741300,450919281,6781827615,1739680036,1,7209600690,1,1775578622,1,1,1,1,1,1,343770833,1,1,1,1,1,364602542,1,1,3381,-5793825,-5793825,-5793825,TER
ACT0068,0.57335,LLC1,18.57808219,Male,2000000000,5,47,2118480700,1,1272041100,62840100,2844069200,1,633983300,12020466100,11670706100,1,-5239700,-5239700,-5239700,1724165300,1,880171200,62840100,1995918300,1,671258300,10424495400,9975873100,1,46593700,46593700,37275000,1603556367,1,336883704,62840192,185750381,1,2477596664,9880314407,9298973946,1,153782425,153782425,123025940,1767032040,1,432808072,62840192,385233960,1,2570600396,7979767694,7386329496,1,115691042,115691042,92552834,ACT
ACT2092,0.57335,LLC2,15.63287671,Female,20000000000,10,46,14538733800,1,9812665500,2812928500,289697500,15085100000,12153667600,51510977100,44142475600,1,4210193500,4784551700,4784551700,18026323500,1862751500,8376344000,2812928500,21751298000,1,12215262000,19888728200,18866542900,1043900,76993000,76993000,61594400,11429454880,8843755252,11111165474,3704746758,23313227595,1,12186822340,12832150242,11344742013,2306105,-32191313,-25787091,-28439737,8844557236,16064915198,171460800,3184999083,18621532259,1,9644400058,31111546149,30149827165,450689,-352149478,14582316,11665853,ACT
ACT0676,0.57335,LLC2,15.25753425,Female,18000000000,5,46,8088126000,4827290400,18724714500,19530999800,40429137400,1,11590669100,4.69E+11,4.11E+11,1325390300,1215002100,1215002100,1215002100,5968170600,27852700000,13851080200,31779118900,60572789700,10600000000,9136382000,2.70E+11,2.57E+11,45436500,-2454287100,-2454287100,-2454287100,9216554775,22500000,51144771414,33418281391,87458176774,1,6844066590,4.13E+11,4.01E+11,164919860,-2292315456,-2292315456,-2292315456,705608991,12090500000,70685856673,31991281309,1.12E+11,1,3572235607,2.95E+11,2.80E+11,10812651,-3239621243,-3271830983,-3271830983,ACT
ACT1458,0.57335,LLC2,14.05479452,Female,2000000000,3,79,1899530100,1,1,1,1,1,1904301100,41186000,14605400,11900,-11207400,-11225600,-11225600,1898041900,1,1,1,1,1,1902812900,1,1,11800,-1488100,-1488100,-1488100,1891151297,4770977,1,1,1,1,1895922274,12500000,10129870,4200,-6880670,-6890670,-6890670,1874162075,1,1,1,1,1,1879015176,17272727,15444239,1778,-16907098,-16907098,-16907098,ACT
TER0481,0.57335,LLC2,12.9369863,Female,4900000000,5,46,2904230100,2279154700,14141718100,499550200,8840886500,6156000000,4903259400,7524663300,6547589600,431200,185067500,87021000,50007500,94074100,1530086400,14409188000,323842400,7235228200,4536000000,4652637900,2005527800,1584668300,270900,-65991800,-250621400,-250621400,61616024,1476243148,13546526246,231053489,11661759411,1,3706159512,221757705,882732008,71209,-891103454,-947770110,-947770110,3978816085,29372290,1,1,62668287,1,3954244076,71700000,271206775,1,-275644157,-275644157,-275644157,TER
ACT2074,0.57335,LLC1,10.16164384,Male,1000000000,5,42,960215600,1,1195957400,636470300,2311162500,1,537416200,2466898600,2089000000,127500,65646700,65646700,65646700,865996900,1,1203212000,631093000,2729665000,1,54751900,1850090900,1896551600,47100,-468221900,-468221900,-468221900,865996950,6575070,1203212018,250682804,2729665029,1,54751942,1,1,1,1,1,1,840454364,1,1228273211,907123714,3327770270,1,93842983,3863733240,2488749464,209857,39074152,39074152,31259322,ACT
ACT1843,0.57335,LLC1,11.40547945,Male,1000000000,8,71,85950000,687480200,1,13649900,59244400,800000000,-66026900,572652200,384776800,38600,24034500,24034500,24034500,233305400,538918300,1,9099900,242052700,800000000,-254833800,384447600,292893100,43200,-183706900,-184256900,-184256900,256946277,292887705,1,4549980,801415836,1,-247031874,1166808743,981503630,1023666,10776114,10776114,10776114,404299292,711482207,1,89178815,1467599646,1,-238174455,953767075,756799362,186412,5345818,2091858,98528,ACT
